method,voxel_size,gaussian_sigma,min_crown_radius_m,top_band_m,mean_f1
rf_density,0.2,0.5,2.0,2.0,0.4674583124238296
pointnet2_density,0.3,0.3,1.5,5.0,0.44978162502459174
