voxel_size,gaussian_sigma,min_crown_radius_m,top_band_m,mean_f1,std_f1,n_plots
0.3,1.0,2.0,2.0,0.34481740481740475,0.3437369535254577,5
0.1,0.5,2.0,3.0,0.34437259291114863,0.20461581531408687,5
0.1,0.5,1.5,3.0,0.3414872186039234,0.18748163503023138,5
0.3,0.3,1.0,3.0,0.3407547527498568,0.19151636916457102,5
0.2,1.0,2.0,2.0,0.3396025968915994,0.3298889671519343,5
0.2,0.5,1.0,2.0,0.3383267638249138,0.14756213769570142,5
0.3,1.0,2.0,3.0,0.3363636363636363,0.360644255680287,5
0.3,0.5,1.0,2.0,0.33570534029367644,0.178195205864617,5
0.3,1.0,1.5,3.0,0.3346262626262626,0.3615547512891755,5
0.1,1.0,1.0,2.0,0.3328050239234449,0.16916625062176935,5
0.3,1.0,2.0,5.0,0.3327272727272727,0.3533411299103427,5
0.3,1.0,1.5,5.0,0.3321475625823452,0.3536700152977826,5
0.3,1.0,0.5,5.0,0.33189945686497413,0.3099956149847227,5
0.2,0.3,1.5,2.0,0.3268778686640953,0.17489436879592807,5
0.3,1.0,1.5,2.0,0.31886868686868686,0.30418274060114675,5
0.2,1.0,0.5,5.0,0.31686066475896985,0.12906986438144283,5
0.2,0.3,1.0,2.0,0.3158470037376597,0.13203501347185792,5
0.3,1.0,0.5,3.0,0.31499818093621146,0.2740161330074048,5
0.1,0.3,1.5,5.0,0.314942585221223,0.1746607346276469,5
0.3,0.3,1.0,2.0,0.3138988766205456,0.1385183802272032,5
0.2,1.0,1.5,2.0,0.3121495554743637,0.2583007904237128,5
0.2,1.0,1.0,2.0,0.29640744215134457,0.22408698753529432,5
0.1,0.5,1.0,5.0,0.2944646270498875,0.12233550551368372,5
0.1,0.3,1.0,5.0,0.27258061596809435,0.10108894153290895,5
0.3,1.0,0.5,2.0,0.2655593451521586,0.17188798955633788,5
0.2,1.0,0.5,3.0,0.2553007528869598,0.11826453372297839,5
0.1,0.5,1.0,3.0,0.25081876456876456,0.09827578653780887,5
0.1,0.3,1.0,3.0,0.21692425853716174,0.07203684326551346,5
0.1,0.3,1.0,2.0,0.21045349964334864,0.08983923351187975,5
0.1,0.5,1.0,2.0,0.20875864875864872,0.0641251758996313,5
0.3,0.5,0.5,5.0,0.20166822648730412,0.11523970024833567,5
0.2,1.0,0.5,2.0,0.17764118392484893,0.10513541223264551,5
0.2,0.5,0.5,5.0,0.15651719744613918,0.06410455235971678,5
0.3,0.5,0.5,3.0,0.15236401307547992,0.07897642141527747,5
0.2,0.3,0.5,5.0,0.14638149963551342,0.02090674921103192,5
0.1,1.0,0.5,5.0,0.14341273222433687,0.05977130700704295,5
0.2,0.3,0.5,2.0,0.12794988566179458,0.05424481926814653,5
0.2,0.3,0.5,3.0,0.12662338158919026,0.04212998377075306,5
0.2,0.5,0.5,2.0,0.12409068578851293,0.04426919358910354,5
0.2,0.5,0.5,3.0,0.1160437577442593,0.06372829879193803,5
0.3,0.3,0.5,5.0,0.11497119742647754,0.0416359166797083,5
0.1,1.0,0.5,2.0,0.10974126126015386,0.042000686440788595,5
0.3,0.5,0.5,2.0,0.10746214194490056,0.05830314404250689,5
0.1,1.0,0.5,3.0,0.10708568883406995,0.03875860232019362,5
0.1,0.5,0.5,5.0,0.09990573458261208,0.05846070992731254,5
0.1,0.5,0.5,3.0,0.08403802825478017,0.049115744164256875,5
0.1,0.5,0.5,2.0,0.07542157198151242,0.0526003992519748,5
0.3,0.3,0.5,2.0,0.07312549329123914,0.05473230920863862,5
0.1,0.3,0.5,5.0,0.06888715833597722,0.022741537495899626,5
0.3,0.3,0.5,3.0,0.06725089673966814,0.04793990289641264,5
0.1,0.3,0.5,3.0,0.06177402249691406,0.04133980483629728,5
0.1,0.3,0.5,2.0,0.057731689280985043,0.035317730259634236,5
